,movie_id,genre_id,genre,new_genre_id,new_movie_id
4000,1417,10752,War,15,722
4001,4011,14,Fantasy,2,1775
4002,4011,35,Comedy,10,1775
4003,287903,14,Fantasy,2,605
4004,287903,35,Comedy,10,605
4005,287903,27,Horror,12,605
4006,9100,14,Fantasy,2,2151
4007,9100,18,Drama,5,2151
4008,9100,53,Thriller,6,2151
4009,9100,27,Horror,12,2151
4010,137,14,Fantasy,2,72
4011,137,18,Drama,5,72
4012,137,35,Comedy,10,72
4013,137,10749,Romance,11,72
4014,11586,14,Fantasy,2,1578
4015,11586,53,Thriller,6,1578
4016,11586,27,Horror,12,1578
4017,492,14,Fantasy,2,260
4018,492,18,Drama,5,260
4019,492,35,Comedy,10,260
4020,14191,14,Fantasy,2,2289
4021,14191,10751,Family,8,2289
4022,14191,35,Comedy,10,2289
4023,14191,10749,Romance,11,2289
4024,34549,14,Fantasy,2,911
4025,34549,878,Science Fiction,3,911
4026,34549,10751,Family,8,911
4027,34549,35,Comedy,10,911
4028,927,14,Fantasy,2,508
4029,927,35,Comedy,10,508
4030,927,27,Horror,12,508
4031,15301,14,Fantasy,2,2560
4032,15301,878,Science Fiction,3,2560
4033,15301,18,Drama,5,2560
4034,15301,53,Thriller,6,2560
4035,15301,27,Horror,12,2560
4036,2619,14,Fantasy,2,1305
4037,2619,35,Comedy,10,1305
4038,2619,10749,Romance,11,1305
4039,11596,14,Fantasy,2,1581
4040,11596,53,Thriller,6,1581
4041,11596,27,Horror,12,1581
4042,11596,9648,Mystery,13,1581
4043,433,14,Fantasy,2,235
4044,433,10751,Family,8,235
4045,433,35,Comedy,10,235
4046,10215,14,Fantasy,2,1749
4047,10215,18,Drama,5,1749
4048,10215,35,Comedy,10,1749
4049,10215,10749,Romance,11,1749
4050,1024,14,Fantasy,2,533
4051,1024,18,Drama,5,533
4052,141,14,Fantasy,2,74
4053,141,18,Drama,5,74
4054,141,9648,Mystery,13,74
4055,14517,14,Fantasy,2,2364
4056,765,14,Fantasy,2,416
4057,765,35,Comedy,10,416
4058,765,27,Horror,12,416
4059,13856,14,Fantasy,2,2198
4060,13856,878,Science Fiction,3,2198
4061,13856,18,Drama,5,2198
4062,11980,14,Fantasy,2,1694
4063,11980,53,Thriller,6,1694
4064,11980,27,Horror,12,1694
4065,246655,878,Science Fiction,3,497
4066,49047,878,Science Fiction,3,2803
4067,49047,18,Drama,5,2803
4068,49047,53,Thriller,6,2803
4069,83542,878,Science Fiction,3,829
4070,83542,18,Drama,5,829
4071,157353,878,Science Fiction,3,871
4072,157353,18,Drama,5,871
4073,157353,53,Thriller,6,871
4074,157353,9648,Mystery,13,871
4075,686,878,Science Fiction,3,372
4076,686,18,Drama,5,372
4077,686,9648,Mystery,13,372
4078,2067,878,Science Fiction,3,1078
4079,2277,878,Science Fiction,3,1168
4080,2277,35,Comedy,10,1168
4081,8452,878,Science Fiction,3,149
4082,9928,878,Science Fiction,3,890
4083,9928,16,Animation,7,890
4084,9928,10751,Family,8,890
4085,9928,35,Comedy,10,890
4086,9574,878,Science Fiction,3,52
4087,9574,10751,Family,8,52
4088,9574,35,Comedy,10,52
4089,10200,878,Science Fiction,3,1045
4090,10200,18,Drama,5,1045
4091,10200,53,Thriller,6,1045
4092,4858,878,Science Fiction,3,1996
4093,4858,53,Thriller,6,1996
4094,9741,878,Science Fiction,3,784
4095,9741,18,Drama,5,784
4096,9741,53,Thriller,6,784
4097,10153,878,Science Fiction,3,1632
4098,2675,878,Science Fiction,3,1326
4099,2675,18,Drama,5,1326
4100,2675,53,Thriller,6,1326
4101,2675,9648,Mystery,13,1326
4102,1903,878,Science Fiction,3,982
4103,1903,18,Drama,5,982
4104,1903,53,Thriller,6,982
4105,1903,10749,Romance,11,982
